Object,Link,Distance,Size,Notes
Large Magellanic Cloud,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-69.756111111111,5.3929166666667,25.1774344298342,0,0",157 kly,,"The larger of two naked eye dwarf galaxies that orbit the Milky Way. It can be seen from the Southern Hemisphere. It is about 10 billion solar masses. It has a spiral arm, but is overall an irregular galaxy."
Leo Triplet(M66 Group),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=13.2552497947974,11.3304391765324,5.57192519334547,0,0",30 Mly,,These are three spiral galaxies that are astronomically close to one another. They show off the different angles and orientations that we can see in the flat spiral galaxies.
M60,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=11.5525,12.727666666667,0.406393005942217,0,0",55 Mly,,Messier 60 (also known as NGC 4649) is an elliptical galaxy in the constellation Virgo. It is part of a pair of galaxies known as Arp 116 with NGC 4647.
M87 (a.k.a. Virgo A),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=12.3927777777778,12.5136111111111,0.406393005942217,0,0",53.5 Mly,,"This is very large round galaxy known as an elliptical galaxy. It has powerful jets made of plasma that are a result of a supermassive black hole in the center and seen in radio wavelengths. The jet extends for about 5,000 light years."
Mayall's Object,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=40.8511325928553,11.0648102353023,0.0834189826875253,-0.128805298797182,0",450 Mly,,This peculiar object was discovered in 1940 by Nicholas U. Mayall. We now believe it is two galaxies that collided. This collision created a shockwave that funneled matter to the center and created the ring shape.
Mice Galaxies,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=30.73,12.7697222222222,0.301196362282438,-1.30376095123976,0",290 Mly,,The Mice galaxies are two spiral galaxies that are interacting with each other and will likely form one galaxy later. The blue streams of light are the remnants of the galaxies' spiral arms.
Milky Way (Galactic Center),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-29.00781055555556,17.76112247222222,0,0,0",,,"The “milky” in Milky Way is derived from its appearance as a dim glowing band arching across the night sky in which the naked eye cannot distinguish individual stars. (rotate to horizontal) Galileo Galilei first resolved the band of light into individual stars with his telescope in 1610. Located at the very center is an intense radio source named Sagittarius A*, which is likely to be a supermassive black hole about 4.1 million solar masses."
NGC 602,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-73.558333333333,1.4902777777778,0.145,0,0",196 kly,,"NGC 602 is a young, bright open cluster of stars located in the SMC. Radiation and shock waves from the stars have pushed away much of the lighter surrounding gas and dust that compose the nebula known as N90, and this in turn has triggered new star formation in the ridges of the nebula."
NGC 1316 (a.k.a. Fornax A),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-37.2072222222222,3.37833333333333,0.145355437191987,0,0",62 Mly,,This galaxy is the result of several other galaxies that have merged together. The gas and stars from these galaxies are consumed by a supermassive black hole in the center and emit large amounts of radio waves. (This galaxy is what's called a lenticular galaxy. It is also a radio galaxy.)
NGC 3314,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-27.68472222222222,10.62013888888889,0.3,0,0",117 to 140 Mly,,"NGC 3314 is a pair of overlapping spiral galaxies in the constellation Hydra. This unique alignment gives astronomers the opportunity to measure the properties of interstellar dust in the face-on foreground galaxy (NGC3314a), which appears dark against the background galaxy (NGC 3314b). Unlike interacting galaxies, the two components of NGC3314 are physically unrelated."
NGC 4993 (LIGO Kilonova),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-23.38416667,13.16322222,0.25,0,0",130 Mly (40 Mpc),,"NGC 4993 (a.k.a. NGC 4994), an elliptical or lenticular galaxy, was discovered in 1789 by William Herschel. Several different teams of scientists used Hubble over the two weeks following the GW170817 gravitational wave event alert to observe NGC 4993. Using Hubble’s high-resolution imaging capabilities they managed to get the first observational proof for a kilonova, the visible counterpart of the merging of two extremely dense objects — most likely two neutron stars. (See Wikipedia - NGC 4993 and Wikipedia - GRB 170817A)"
"NGC 5866 (M102, Spindle Galaxy)","http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=55.763333333333,15.108194444444,0.25,0,0",50 ± 3 Mly,,"NGC 5866 (a.k.a., Spindle Galaxy/M102) is a relatively bright lenticular or spiral galaxy in the constellation Draco. (HST image)"
NGC 5907,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=56.328888888889,15.264944444444,0.6,0,0",53.5 ± 8.1 Mly,,NGC 5907 (a.k.a. Knife Edge or Splinter galaxy) is a spiral galaxy with a looping stellar stream surrounding the galaxy.
NGC6050,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=17.7565752955526,16.0897420768728,0.0906028156250871,0,0",450 Mly,,"These are three interacting spiral galaxies that are part of the Hercules cluster of galaxies. The group spans around 150,000 lightyears."
Pinwheel(M101),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=54.349166666667,14.0535,1.12951329230358,0,0",21 Mly,,"The Pinwheel Galaxy is an example of a flat, disk-shaped galaxy with beautiful swirling shape known as spiral galaxies. It is around 100 billion times more massive than our sun."
Sagittarius Dwarf Elliptical Galaxy,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-30.545277777778,18.922083333333,5,0,0",65 ± 7 kly,"~10,000 lyr","Sgr dE (or Sag DEG) is an elliptical loop-shaped satellite galaxy of the Milky Way Galaxy, travelling in a polar orbit at a distance of ~50,000 ly from the core of the Milky Way (about 1/3 the distance of the Large Magellanic Cloud). It consists of four globular clusters."
Small Magellanic Cloud,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-72.82861111111,0.87911111111111,18.8972928249541,0,0",197 kly,7 kly,The smaller of two naked eye dwarf galaxies that orbit the Milky Way. It can be seen from the Southern Hemisphere. There is also a high population of X-ray Binaries.
Sombrero Galaxy (M104),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=-11.623055555556,12.6665,0.25,0,0",28 Mly,,"The Sombrero Galaxy is an unbarred spiral galaxy in the constellation Virgo. It has a bright nucleus, an unusually large central bulge, and a prominent dust lane in its inclined disk."
Stephan's Quintet,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=33.9629241441575,22.6001875067197,0.484829267800775,2.2776546738526,0",280 Mly,,This is a compact grouping of 5 galaxies that was discovered in 1877 in France. Four of these galaxies are gravitationally interacting and will likely merge form one galaxy in the future.
Triangulum Galaxy,"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=30.66,1.5641388888889,3.49304606816698,0,0",~3 Mly,,"Catalogued as Messier 33 or NGC 598. Also, sometimes informally referred to as the Pinwheel Galaxy, a nickname it shares with Messier 101. The Triangulum Galaxy is a spiral galaxy and is the third-largest member of the Local Group of galaxies, which includes the Milky Way Galaxy, the Andromeda Galaxy and about 30 other smaller galaxies. It is one of the most distant permanent objects that can be viewed with the naked eye."
Whirlpool(M51),"http://tilewall.adlerplanetarium.org:5050/layerApi.aspx?cmd=mode&lookat=Sky&flyto=47.195277777778,13.497972222222,0.615319867794834,1.60535384918949,0",23Mly (7.1Mpc),"72,000 light-years across","The brightest galaxy in the M51 Group, this galaxy has a companion (NGC5195)."
